gene,logFC_CON_vs_CON,logFC_CSRES_vs_CON,logFC_CSSUS_vs_CON,logFC_CURES_vs_CON,logFC_CUSUS_vs_CON
Slc24a5,0.0,-0.19357741,0.22654544,-0.39724082,-0.07973708
Myef2,0.0,0.03199285,0.09218071,-0.0128977895,-0.08294485
Gm14004,0.0,0.10944251,-0.08437676,-0.13100587,-0.124567926
Ctxn2,0.0,0.20110068,0.15296796,-0.24690077,0.008912448
Slc12a1,0.0,0.02291333,-0.05871071,0.13075748,0.011254899
Dut,0.0,0.38060185,0.2766409,0.19443533,0.33549023
Fbn1,0.0,0.034589104,-0.2009574,0.16121754,-0.3548308
Cep152,0.0,-0.24610358,-0.0096737,-0.12627535,-0.38172752
Shc4,0.0,0.08214637,-0.28076237,-0.044381082,-0.054498564
Eid1,0.0,0.28668767,0.04756377,-0.1817101,0.20709507
Secisbp2l,0.0,0.41705287,0.39906347,0.19425803,0.2492657
Cops2,0.0,0.10327372,0.08547317,-0.12474035,-0.03887544
Galk2,0.0,-0.10869402,-0.016451644,0.016816359,-0.028812224
Fam227b,0.0,0.24539056,0.16583925,-0.06530248,-0.04123707
Fgf7,0.0,0.08211391,0.049214438,0.057694387,0.08493167
Dtwd1,0.0,0.33292943,0.19663827,0.16042393,0.18306367
Slc27a2,0.0,0.26299387,0.049619585,0.17658547,-0.029536754
Gabpb1,0.0,0.037230592,0.12229651,-0.11509396,0.020989776
Gm27003,0.0,-0.0048083514,-0.009464815,0.2821036,0.12845194
Usp8,0.0,0.14913434,0.1477637,0.30522475,0.097219266
Usp50,0.0,-0.15286987,-0.236628,-0.13786854,-0.26927513
Trpm7,0.0,0.061558194,0.029173203,0.036419943,0.026894845
Sppl2a,0.0,0.06927328,0.017729778,-0.047019005,-0.0015623271
Ap4e1,0.0,-0.18101197,-0.12163635,0.07958227,-0.12132636
Blvra,0.0,0.13085905,0.063068934,-0.0709551,0.24060681
1810024B03Rik,0.0,-0.17733577,-0.25854367,-0.093270496,-0.47864136
Snrnp200,0.0,0.05338465,0.011262357,-0.18410903,0.0013877712
Ciao1,0.0,0.22219895,0.1741774,0.28340757,0.1656489
Tmem127,0.0,0.013694502,-0.034872267,0.009052262,-0.03148825
Stard7,0.0,0.15429777,0.113274865,0.22138092,0.10259354
Fahd2a,0.0,0.13012803,0.15169726,-0.12306778,0.07441971
Kcnip3,0.0,-0.1469715,0.17931049,0.084116474,-0.17660786
Zfp661,0.0,0.25111124,0.14958951,0.23164852,0.23840441
Mrps5,0.0,0.18893316,0.22727,0.07493431,-0.14320472
Mal,0.0,0.20228519,-0.07920511,-0.34376225,-0.19803278
Nphp1,0.0,0.020575827,-0.030230574,-0.033545658,-0.026503377
Mtln,0.0,0.36315885,-0.22202463,0.06566895,0.24381271
Bcl2l11,0.0,0.21528177,-0.049359933,0.34990168,0.13653854
Morrbid,0.0,0.056638964,-0.025048213,0.042860508,-0.021909242
Gm39929,0.0,0.022803426,-0.0050677974,-0.034860794,-0.03721831
Anapc1,0.0,-0.03568549,-0.0861575,0.10732816,-0.06850438
Mertk,0.0,-0.120177716,-0.29324514,-0.26617932,-0.13950482
Tmem87b,0.0,0.005420074,0.13315348,0.1510682,0.13857958
Fbln7,0.0,-0.05752585,-0.08181505,-0.08267205,-0.0122810295
Zc3h8,0.0,0.27848968,0.04399003,0.3222515,0.09765427
Gm10762,0.0,0.27127147,0.09268242,0.20427106,0.17436375
Zc3h6,0.0,0.123583764,-0.076128826,0.28412318,0.14762494
Gm14027,0.0,0.16265672,-0.021739326,0.01719261,0.1794084
Vinac1,0.0,-0.068670526,-0.26418293,-0.08881091,-0.15146327
Gm14022,0.0,-0.25634527,-0.06682435,-0.25347006,-0.13342096
Ttl,0.0,-0.19658765,-0.14124793,-0.035414435,-0.17382662
Polr1b,0.0,-0.116798095,0.01639913,0.12165125,0.08855873
Chchd5,0.0,-0.14680113,0.10056108,-0.10182987,0.010250669
Slc20a1,0.0,0.3429074,0.22129725,0.48004532,0.12277579
Gm14023,0.0,-0.11310262,-0.22079173,-0.07569669,-0.029089497
F830045P16Rik,0.0,0.040943656,-0.012910396,0.21683446,0.02105515
Sirpa,0.0,0.1314278,0.33291024,0.2745997,0.27738467
Pdyn,0.0,-0.03187689,0.0045587206,0.030648286,-0.07527768
Stk35,0.0,0.124827795,0.20355296,0.39598504,0.017691985
Snrpb,0.0,0.08997141,0.10311915,-0.060664922,0.11651609
Tmc2,0.0,0.087884665,-0.04611634,-0.10693668,-0.07461474
Nop56,0.0,0.39372212,0.32063922,0.116311505,0.17190462
Idh3b,0.0,0.19538547,0.22281961,0.26229122,-0.20943113
Ebf4,0.0,0.20947579,0.19738919,0.31639254,0.14547306
Cpxm1,0.0,-0.0035958253,-0.06710289,-0.09180717,0.12025591
Pced1a,0.0,0.17739125,0.06363535,0.27794415,0.017657027
Vps16,0.0,-0.031888425,-0.10853756,0.10381684,-0.06650538
Ptpra,0.0,-0.0010302514,0.18163452,0.1262024,-0.010818109
4930473A02Rik,0.0,-0.18224901,-0.112589896,0.044897836,0.071715936
Mrps26,0.0,0.32399347,0.5073798,0.6986769,0.018859029
Ubox5,0.0,0.047838934,0.039159954,0.3527501,0.13201983
Fastkd5,0.0,-0.04355467,0.1314303,0.099367656,-0.016078204
Lzts3,0.0,0.34182322,-0.11923802,0.035481066,-0.07206887
Ddrgk1,0.0,0.04379007,0.06432003,-0.019007832,-0.108457506
Itpa,0.0,-0.099290155,-0.0071224654,-0.07641829,-0.13091682
Slc4a11,0.0,0.05821738,0.020463303,0.016430508,0.07270621
4930402H24Rik,0.0,0.03934464,0.12595893,0.29485473,0.024854109
A730017L22Rik,0.0,-0.0067625144,-0.094584756,-0.09978365,-0.0774231
Atrn,0.0,0.18468586,0.3177299,0.2545638,0.07625003
Gfra4,0.0,0.19916107,0.21427661,0.026594676,-0.07984051
Adam33,0.0,-0.02646444,-0.018776566,-0.048388932,0.007782816
Hspa12b,0.0,-0.012170539,-0.102460355,-0.020640397,0.0027783858
1700037H04Rik,0.0,0.14003073,0.08431755,-0.0040841177,0.09607141
Spef1,0.0,-0.0771096,-0.0338172,0.18431371,0.0020937547
Cenpb,0.0,-0.13012072,-0.010269539,-0.032510936,-0.13072355
Cdc25b,0.0,0.036026955,0.1768988,0.2720182,0.005867973
Ap5s1,0.0,0.13434769,0.20767128,0.1070195,0.18184748
Mavs,0.0,-0.105312735,-0.03484763,0.112526216,0.082776524
Pank2,0.0,-0.025074758,0.052333284,0.08780965,-0.17270313
Rnf24,0.0,0.12587091,0.19240457,0.31251067,0.17278743
Smox,0.0,0.1288972,0.2983618,0.2485176,0.058438927
5330413P13Rik,0.0,-0.05280685,0.001969535,-0.100461036,-0.10239249
Prnp,0.0,0.023865543,-0.003071107,-0.10886949,0.08943106
Rassf2,0.0,0.2801881,0.24603038,0.22286615,0.11077611
Slc23a2,0.0,-0.013022974,-0.01574196,0.12267821,-0.0377864
Gm14051,0.0,-0.13795075,-0.14239654,-0.25074247,-0.09366582
Tmem230,0.0,0.08265579,-0.08650637,0.11301823,-0.089559436
Pcna,0.0,0.094508626,0.039523676,-0.1591394,-0.26325843
AV099323,0.0,-0.28662783,-0.16507418,-0.19719087,-0.41336685
Cds2,0.0,0.006129034,0.043776847,0.03327842,0.022343978
Prokr2,0.0,0.09742138,-0.06985866,-0.1367238,-0.18393782
Gpcpd1,0.0,-0.26184162,-0.0439447,-0.16896123,-0.042368483
Shld1,0.0,0.008712634,0.02252264,0.18431213,-0.19355091
Chgb,0.0,0.08420523,0.1307055,0.20039403,0.018482551
Trmt6,0.0,0.20447212,0.12191679,0.3489747,0.18704812
Mcm8,0.0,0.10459371,-0.18636447,0.05666502,0.031495184
Crls1,0.0,0.064350195,-0.069668114,0.026645225,0.06105883
Bmp2,0.0,-0.044157103,0.26224363,0.18199593,0.14821355
Tmx4,0.0,0.25902078,0.1512225,0.045046523,0.14001693
Plcb1,0.0,-0.39983726,-0.17540291,-0.3900373,-0.28622517
4930545L23Rik,0.0,0.30989873,0.25092554,-0.17283165,-0.15161857
9630028H03Rik,0.0,-1.2921613,-0.42764795,-0.84873754,-0.7995811
Plcb4,0.0,-0.15016326,-0.029276438,-0.14568199,-0.058134284
Gm14211,0.0,-0.14467916,-0.31393793,-0.56502485,-0.37845087
Lamp5,0.0,-0.14766358,0.033249434,0.0056351945,-0.20725814
Pak7,0.0,0.23084763,0.22303511,0.27303302,0.13913187
Ankef1,0.0,-0.0823837,-0.048588943,-0.0028842876,0.029944351
Snap25,0.0,0.39072925,0.17490682,-0.0012302697,0.14844523
Mkks,0.0,0.011876233,0.035282414,-0.06938074,-0.0669629
Slx4ip,0.0,-0.22983378,-0.09831301,-0.22751373,-0.12770939
Jag1,0.0,0.37495384,0.23133132,0.38331455,0.2706701
Btbd3,0.0,0.41265455,0.19899958,0.008562177,0.12992984
Gm14061,0.0,0.17073762,0.14469965,0.14554264,0.12562008
Gm14066,0.0,0.2798367,0.22439048,0.022274867,0.034966074
Sptlc3,0.0,-0.021663543,0.026452094,0.008500686,0.06543985
Ism1,0.0,-0.03711862,-0.097795956,-0.011320572,0.0043374086
Tasp1,0.0,0.0069922656,0.20990866,-0.01584334,0.006432198
Esf1,0.0,-0.120920606,-0.060110718,-0.018203095,0.026984198
Ndufaf5,0.0,-0.14056331,-0.065408126,0.022016373,-0.1573723
Macrod2,0.0,0.08032373,0.109353945,0.12274711,0.048371762
Flrt3,0.0,0.05380859,-0.18847333,-0.11694355,0.047994323
Macrod2os1,0.0,0.26443005,0.18843818,-0.2926026,-0.11085567
Kif16b,0.0,0.20521453,0.26711822,0.28375316,0.10963592
Snrpb2,0.0,0.3468886,0.24969876,0.019274905,0.08111604
Pcsk2os1,0.0,0.1850756,0.040927384,-0.12668121,0.040067352
Pcsk2,0.0,0.16283265,-0.18537131,0.0027653575,-0.0818569
Pcsk2os2,0.0,0.048354387,0.0020571724,0.03967819,-0.003892891
Dstn,0.0,0.25829205,0.051172957,-0.17366327,0.049338594
Rrbp1,0.0,0.12782426,0.29483974,0.17982309,0.21663186
Banf2,0.0,-0.14933082,-0.099186495,-0.08910045,-0.1061074
Gm5535,0.0,0.11165312,0.022065625,0.08524151,0.042248055
Snx5,0.0,-0.008025035,0.14874053,0.04769868,0.032370597
Mgme1,0.0,-0.20765078,-0.18313104,-0.24463388,-0.33058035
Kat14,0.0,-0.09849846,0.040428687,0.20680586,-0.17692596
Dzank1,0.0,0.3927229,0.21782379,0.16487113,0.035721257
Polr3f,0.0,-0.15195419,0.14140089,-0.009454351,0.018714324
Rbbp9,0.0,-0.18015546,-0.30472192,-0.060819414,-0.26053518
Sec23b,0.0,-0.25579393,-0.008177898,-0.1698311,0.055784717
Smim26,0.0,0.30778626,0.09521955,0.16924891,0.027183503
Dtd1,0.0,0.26184767,0.23373094,0.25258386,0.09310211
Slc24a3,0.0,0.1456371,0.20307356,0.23794435,0.04434201
Rin2,0.0,0.034886166,-0.12485751,-0.18594794,-0.19402847
Naa20,0.0,-0.09033513,0.011128813,-0.060095847,0.14618511
Crnkl1,0.0,-0.16283153,-0.17494577,-0.0986263,-0.33040342
Cfap61,0.0,-0.10000742,-0.115375794,-0.059194714,-0.062642165
Insm1,0.0,-0.050398566,-0.014908547,-0.07210277,0.1643946
Ralgapa2,0.0,0.21506695,0.08800713,0.17199744,0.06623346
A930019D19Rik,0.0,-0.012379397,0.087269254,0.034334853,-0.016775243
Gm14114,0.0,-0.08896789,-0.1329487,0.22966702,-0.18849126
Kiz,0.0,-0.10477889,0.09910598,0.0700717,0.07011961
Xrn2,0.0,0.06560169,0.09971377,-0.111988075,-0.019430652
Nkx2-2,0.0,0.15347137,0.15799354,0.4911058,0.352296
Nkx2-2os,0.0,0.06547716,0.23259896,0.35578358,0.047132134
Nxt1,0.0,-0.34140176,-0.1570489,-0.17005709,-0.13845827
Gzf1,0.0,-0.1729877,0.042696744,0.022606315,-0.16773035
Napb,0.0,0.20922385,0.12701766,-0.16233689,0.14305942
Cst3,0.0,-0.7478549,-0.45342332,-0.44050545,-0.1898036
Gm14133,0.0,-0.0020219758,0.049035337,-0.008970089,0.10156408
C530025M09Rik,0.0,0.061263166,-0.117398635,-0.03601969,-0.021232553
Syndig1,0.0,0.19177377,0.19981663,0.09098482,0.18181029
Zfp120,0.0,-0.2010589,-0.09014441,0.15984465,-0.100011095
Zfp937,0.0,-0.100820616,-0.004269641,-0.10805613,-0.12574172
3300002I08Rik,0.0,0.07971554,-0.018785156,0.13951199,-0.058933787
Gm10130,0.0,-0.030313674,0.034900695,0.23621865,-0.29366615
Zfp442,0.0,0.031264752,0.21070817,0.2844509,0.14847432
Apmap,0.0,0.09176454,-0.031376496,-0.042749867,0.2844094
Acss1,0.0,0.037887618,0.123334296,0.22029206,0.08701434
Entpd6,0.0,0.101703286,0.11665593,0.3193522,0.007983446
Pygb,0.0,0.0047578663,0.16318057,0.3223297,0.10043238
Abhd12,0.0,-0.11580832,0.039792188,-0.08560494,-0.104395166
Gins1,0.0,0.019381829,0.14261264,0.19703296,0.10232437
Ninl,0.0,0.037000973,0.11695248,0.020390745,0.00041097403
Nanp,0.0,0.030350503,0.11989765,-0.121695854,0.08927557
Nsfl1c,0.0,0.24776581,0.04735525,-0.00820975,0.040195525
Gm14167,0.0,-0.14571169,-0.15858825,-0.13361193,-0.36818832
Fkbp1a,0.0,0.040724315,0.036100984,-0.18578576,0.11292865
Sdcbp2,0.0,-0.25911802,-0.3089532,0.0067042112,-0.051898185
Snph,0.0,-0.07461536,0.09954884,0.0916993,0.13096625
Rad21l,0.0,0.00027404726,0.065556966,0.04885003,-0.011784475
Tmem74bos,0.0,-0.021820502,-0.035229925,-0.06251358,0.004432029
Tmem74b,0.0,-0.113527,-0.080020934,-0.13276975,-0.21168116
Psmf1,0.0,-0.0692923,-0.060225893,-0.027731718,-0.06284449
Fam110a,0.0,-0.06362916,0.03183153,-0.10477271,-0.061817423
Scrt2,0.0,-0.08450906,-0.0628232,-0.16083705,-0.17497681
Srxn1,0.0,0.037384637,0.14086756,-0.17715822,-0.06886839
Csnk2a1,0.0,-0.013146967,0.08890565,-0.20818418,-0.04103618
Tbc1d20,0.0,0.38475487,0.2560943,0.28349966,0.23026976
Rbck1,0.0,0.27730623,0.15793236,0.22487786,0.16262741
Trib3,0.0,-0.01969783,-0.014439498,0.0008771103,0.052873816
Gm14164,0.0,0.04089557,0.032873042,0.026680253,0.06783673
Nrsn2,0.0,-0.029714763,0.019591577,0.13767111,0.18669292
Sox12,0.0,0.18554422,0.2760611,0.459807,0.33378407
Zcchc3,0.0,0.12831031,-0.22442895,-0.1386657,-0.12327061
6820408C15Rik,0.0,-0.29470927,-0.3103956,-0.11720411,-0.3623787
H13,0.0,-0.103018805,0.02889631,0.029489556,-0.08282663
Mcts2,0.0,0.14603302,0.122548416,0.05069419,-0.115043946
Id1,0.0,0.20129661,0.043308094,0.35089627,0.06803385
Bcl2l1,0.0,-0.18269286,-0.14779022,-0.2164536,-0.0641285
Tpx2,0.0,-0.015114594,0.09800267,-0.032102622,0.048703585
Dusp15,0.0,0.47965288,0.17277387,0.31562966,0.10480994
Ttll9,0.0,-0.018003419,0.17545614,0.022696111,0.04504274
Pdrg1,0.0,-0.07493581,-0.06744775,0.057088993,-0.29723606
Xkr7,0.0,0.07302702,0.020331021,0.01715374,0.05228044
Hck,0.0,0.13300993,0.017970517,-0.15297069,-0.10167418
Tm9sf4,0.0,0.019525861,-0.050492067,-0.054649364,-0.15293849
Tspyl3,0.0,-0.061755717,-0.19204569,-0.19942673,-0.21154712
Plagl2,0.0,0.08175559,0.23483014,0.06193982,0.23601869
Pofut1,0.0,-0.1765678,-0.056579094,0.06141051,-0.11713928
Kif3b,0.0,-0.14609511,0.007183604,-0.17943567,-0.067385316
2500004C02Rik,0.0,-5.389005e-05,0.048351906,0.121478565,-0.036766455
Asxl1,0.0,-0.07548175,-0.0026908591,0.020157035,0.020590264
Nol4l,0.0,0.051381744,0.17695457,0.27603963,-0.05373621
Commd7,0.0,0.24214935,-0.032669365,0.23236623,0.00845404
Dnmt3b,0.0,0.06004882,0.0741951,0.119790174,0.018183365
Mapre1,0.0,0.31547797,0.1611633,0.32097578,0.21836707
Efcab8,0.0,-0.0057917535,0.04885882,0.17151117,0.002747044
Cdk5rap1,0.0,0.17617534,0.14430086,0.17408569,0.06519657
Snta1,0.0,-0.24224722,0.004171524,-0.0150517635,0.07279374
Cbfa2t2,0.0,-0.23999973,-0.053080294,0.029808326,0.030828085
Necab3,0.0,-0.2575594,-0.09184729,0.056654513,-0.09496913
1700003F12Rik,0.0,-0.3168332,-0.12940326,-0.06670156,-0.17615187
E2f1,0.0,0.11978755,0.20857829,0.031082526,0.35399044
Pxmp4,0.0,-0.34390748,-0.09878709,-0.04110712,-0.22613795
Zfp341,0.0,-0.12024257,0.011202033,0.06745747,-0.039890945
Chmp4b,0.0,-0.04653467,-0.059532136,-0.17853673,-0.15098026
Raly,0.0,0.08840083,0.1790147,0.3082135,0.09567667
a,0.0,0.16327776,0.3292219,0.13609654,0.28392738
Eif2s2,0.0,0.19556506,0.1697931,-0.17465246,0.08322548
Ahcy,0.0,0.18587421,-0.0064892396,-0.025205463,0.08782709
Gm45609,0.0,-0.08989448,-0.011579396,0.013433036,0.019657144
Itch,0.0,-0.20505652,-0.0064601935,-0.070243545,0.009235604
Dynlrb1,0.0,-0.024089986,-0.06183312,-0.39677113,-0.07818441
Map1lc3a,0.0,0.07855603,0.17771767,-0.18305731,0.20953692
Pigu,0.0,-0.08032671,0.09202455,0.15933618,-0.090946116
Trp53inp2,0.0,-0.00823294,-0.052867513,0.070639744,-0.0018068738
Ncoa6,0.0,-0.24625768,-0.1630993,-0.17109099,-0.09294146
Ggt7,0.0,0.23455168,0.39155227,0.33039123,0.24170488
Acss2,0.0,0.733933,0.27786773,0.47782856,0.21499014
Gss,0.0,0.30119514,0.14410673,0.13601647,0.015160888
Gssos1,0.0,0.109242044,-0.09039423,0.309869,0.0054110214
Myh7b,0.0,-0.1034569,-0.06978589,0.07047015,-0.009888931
Trpc4ap,0.0,0.015792929,-0.0032610968,0.060406394,0.029260587
Edem2,0.0,0.14407934,0.31728968,0.23015593,0.085675724
Mmp24,0.0,0.26129526,0.26018536,0.14900629,0.15436731
BC029722,0.0,0.08650665,0.21664661,0.056774817,0.13813853
Eif6,0.0,0.1431911,0.18136582,0.08347177,0.14703006
Uqcc1,0.0,-0.17309982,0.0013272092,0.068374045,-0.04482173
Cep250,0.0,0.037952058,0.101506576,0.149663,-8.959323e-05
6430550D23Rik,0.0,0.09906292,-0.024388459,0.019860819,-0.0008617677
Ergic3,0.0,-0.19540465,-0.10220991,-0.06058988,0.15842697
Spag4,0.0,0.05394401,0.02182776,-0.015556917,-0.0010130331
Cpne1,0.0,-0.0011632666,0.08941864,0.030727953,0.028528757
Nfs1,0.0,-0.15951227,0.016627125,0.025346741,-0.10028358
Romo1,0.0,0.27811205,0.03226256,-0.24271075,0.064763755
Rbm39,0.0,0.11469501,0.07024284,0.24437305,0.16457738
Phf20,0.0,-0.041223183,0.2336635,0.17996395,0.14302295
Scand1,0.0,-0.030256629,0.23404685,0.34671885,0.088396505
Cnbd2,0.0,0.13532546,0.2263293,0.3583206,0.01660119
2900097C17Rik,0.0,0.42687142,0.24022686,-0.14916205,0.23964635
Epb41l1,0.0,0.08023978,-0.15737832,-0.04513234,-0.315794
Aar2,0.0,0.043262094,-0.15474638,-0.1314145,0.085576184
Gm14168,0.0,0.010448929,0.08448896,0.019423407,0.10515405
Gm14169,0.0,0.031469263,-0.082075365,-0.06241638,-0.060564846
Dlgap4,0.0,-0.089782745,0.07232015,-0.070056215,-0.059039366
4930405A21Rik,0.0,-0.36770177,-0.18185557,-0.046826776,-0.067780174
Tgif2,0.0,0.13347176,0.03191775,0.08380735,0.038958613
5430405H02Rik,0.0,-0.2031396,-0.27043477,-0.09869398,0.05854989
Rab5if,0.0,-0.13863656,-0.11436056,0.003512797,-0.02456387
Ndrg3,0.0,-0.26355475,-0.12643367,-0.47249207,-0.2184644
Dsn1,0.0,-0.049602717,0.2301967,-0.016040107,-0.18287027
Soga1,0.0,-0.113917574,0.10935262,0.13183174,-0.21859036
Samhd1,0.0,-0.07307428,0.058320176,-0.14981267,-0.30257624
Rbl1,0.0,-0.22821033,-0.09221235,-0.024359694,0.035195686
Mroh8,0.0,-0.0050597116,-0.1263339,-0.18911842,-0.17322978
Rpn2,0.0,0.07876004,0.15523842,0.22351168,0.20413826
Manbal,0.0,-0.0145315975,-0.017919526,0.20908582,0.16939838
Src,0.0,0.21988057,0.17485875,0.34007657,0.17686573
Gm14286,0.0,-0.10418333,0.11443931,0.23707747,-0.15898323
Blcap,0.0,0.10115932,0.19077776,0.19047181,0.05999659
Nnat,0.0,0.016895905,0.032744408,0.40992308,0.18161568
Ctnnbl1,0.0,-0.0012581348,0.13788325,0.23050146,0.15979055
Vstm2l,0.0,0.007241646,-0.26221544,0.10423703,0.025917988
Tti1,0.0,0.005730264,0.14087453,0.18252215,0.026265271
Rprd1b,0.0,-0.024172768,-0.052373655,-0.0034660846,-0.051172882
Tgm2,0.0,0.08601181,-0.04909059,0.015511483,0.046716753
D630003M21Rik,0.0,0.016920246,0.18138659,0.03848253,-0.046004094
Snhg17,0.0,0.22124682,0.11087675,0.16660191,0.19015738
Snhg11,0.0,0.2151033,0.40945247,0.45908248,-0.25817162
Ralgapb,0.0,0.14408307,0.05708003,0.14071569,0.016486943
Gm14204,0.0,0.10712165,0.1512212,-0.25080302,0.0119321775
Slc32a1,0.0,0.051878557,0.19778869,-0.03489124,0.08502527
Actr5,0.0,0.13330205,0.27790827,0.27737588,0.0865916
Ppp1r16b,0.0,0.41298923,0.2124662,0.044695094,0.028944105
Dhx35,0.0,0.20831126,0.1686174,0.21672125,0.08590539
Mafb,0.0,0.0533797,-0.17106594,0.120090544,0.07383781
Top1,0.0,-0.25692064,-0.048823677,-0.3911381,-0.0051148236
Plcg1,0.0,-0.19650395,-0.15583387,-0.14845741,-0.2959324
Zhx3,0.0,-0.33284542,-0.18239543,-0.3336416,-0.15628393
Gm16751,0.0,-0.44079965,-0.14717922,-0.3783356,-0.21363513
Chd6,0.0,-0.08789714,0.025203414,0.023991905,0.062103618
Gm45447,0.0,0.05215396,0.095183834,-0.03802849,-0.07728255
Ptprt,0.0,0.16314189,0.26931664,0.408472,0.15094866
9430021M05Rik,0.0,0.13685916,0.07602309,0.08384544,0.10917223
Srsf6,0.0,0.3974896,0.37730643,0.18904121,-0.106179565
L3mbtl1,0.0,0.1846423,0.09175301,0.26899302,0.102012604
Sgk2,0.0,0.07773207,0.027441114,0.15450726,0.21848172
Ift52,0.0,-0.35027605,-0.24277264,-0.02812352,-0.12299396
Mybl2,0.0,0.025804818,0.07069636,0.10622826,-0.0056675747
Tox2,0.0,-0.39073294,-0.1108322,-0.14457226,-0.4262374
Oser1,0.0,0.09063874,0.09842996,0.17466494,0.085642576
2900093K20Rik,0.0,0.27779222,0.3505185,0.6820055,-0.1422213
Gdap1l1,0.0,0.1687102,0.18612868,-0.062497146,-0.0811167
Fitm2,0.0,-0.14631602,-0.19126636,-0.1459549,-0.023767427
Ttpal,0.0,0.38341156,0.32199475,0.4154539,0.27835998
Serinc3,0.0,0.10363213,-0.17033951,-0.0349599,-0.044819478
Pkig,0.0,-0.40752256,0.09235687,-0.10285744,0.080675684
Gm16316,0.0,0.030317985,0.17626707,-0.014885485,0.05723671
Rims4,0.0,0.08865994,0.014455166,0.12580507,-0.015924662
Ywhab,0.0,0.7659589,0.36710382,-0.03660819,0.16017582
Pabpc1l,0.0,-0.04660625,0.039018694,0.009340422,0.031547002
Tomm34,0.0,0.19530596,0.2210286,0.37806645,0.4113152
Stk4,0.0,-0.07874754,0.13929382,0.0038998276,-0.12603073
Kcns1,0.0,-0.022413656,0.07975659,0.06905428,0.09141699
Slpi,0.0,0.001381198,0.00066141784,-0.010408688,0.044207834
Matn4,0.0,0.28085646,0.19501354,0.54562616,-0.08337739
Rbpjl,0.0,-0.03229978,-0.06476659,0.012445695,-0.017036196
Sdc4,0.0,0.16803573,0.074930705,0.12983245,-0.046961904
Sys1,0.0,-0.16173747,-0.1303251,-0.08665274,-0.021384967
Gm14302,0.0,-0.12062147,-0.25086477,-0.05521817,-0.116344795
Dbndd2,0.0,0.2006115,0.04334239,-0.058264926,0.07794061
Pigt,0.0,-0.099355526,0.07639827,0.048566267,0.042834155
Wfdc3,0.0,-0.13007562,-0.009899873,-0.19085522,-0.10865856
Dnttip1,0.0,-0.007440828,0.20231141,0.015356004,-0.07370522
Gm11457,0.0,-0.024587356,-0.16828142,-0.21909708,-0.48657858
Snx21,0.0,0.11109862,0.2824755,0.31250688,0.17784119
Acot8,0.0,0.20128314,0.077907994,0.16143161,0.10505146
Zswim3,0.0,-0.114167355,0.0111166015,0.12807398,-0.130838
Zswim1,0.0,0.16627997,-0.046806715,0.3343162,-0.017802708
Neurl2,0.0,0.042876754,0.11351207,-0.115307674,0.026420478
Ctsa,0.0,0.021824874,0.17873986,0.004119411,0.15818742
Pltp,0.0,0.15285772,0.05934684,0.49520594,0.2805514
Pcif1,0.0,0.3811652,0.23657419,0.2509786,0.2789168
Zfp335,0.0,-0.028157111,-0.0017885752,-0.11055338,-0.17132482
Zfp335os,0.0,-0.19857246,-0.2600328,0.012758059,0.05606757
Slc12a5,0.0,0.28086948,0.114687085,0.2070511,0.14482272
Ncoa5,0.0,-0.20215115,-0.20316404,-0.12384577,-0.15693948
Cd40,0.0,0.029674511,0.043928158,0.033475943,0.10074742
Cdh22,0.0,-0.2647225,0.019353561,-0.07312204,-0.023452777
Slc35c2,0.0,0.21663581,0.04847095,0.25756317,-0.08859739
Elmo2,0.0,0.5391651,0.41331854,0.59529036,0.11943868
Zfp334,0.0,0.22705032,-0.31004962,-0.11924423,-0.18284622
Slc13a3,0.0,0.1441651,0.35566497,0.36688858,0.2701015
Trp53rka,0.0,0.32511652,0.10614498,0.45173752,0.3705011
Eya2,0.0,-0.017024307,-0.00080197304,-0.03477902,-0.020426631
Zmynd8,0.0,-0.09131346,-0.011580275,-0.077883005,-0.14231592
Gm11465,0.0,0.18196961,0.042061705,-0.03816971,0.11773579
Ncoa3,0.0,-0.16801138,0.12542684,0.06798364,-0.12679994
Sulf2,0.0,-0.05155901,-0.11505723,-0.15488043,-0.07714112
Prex1,0.0,0.081405446,0.18933696,0.293907,0.18343556
Trp53rkb,0.0,-0.085690625,0.1385704,0.20466384,-0.12858963
Arfgef2,0.0,-0.09994984,0.07557237,0.027369775,-0.0369754
Cse1l,0.0,0.11878729,0.20365758,0.31684202,0.15152942
Stau1,0.0,-0.1642556,-0.06865734,0.01934593,-0.19295879
Ddx27,0.0,0.15941413,0.21763283,0.0020335168,0.1138529
Znfx1,0.0,0.033344194,0.11122214,0.21068157,0.12858148
Zfas1,0.0,-0.03078406,-0.06676381,-0.09864817,-0.060007267
Kcnb1,0.0,0.042189322,-0.050678685,-0.030505208,-0.19542602
1110018N20Rik,0.0,-0.0034214333,-0.19501771,-0.11240359,-0.19332391
Ptgis,0.0,-0.097907275,-0.026740924,-0.08406652,-0.09123152
B4galt5,0.0,-0.069202326,0.026076619,0.21518737,-0.23278119
Slc9a8,0.0,-0.1654755,0.05136148,0.11412066,0.06867635
Spata2,0.0,-0.14320415,-0.18308687,-0.10919734,-0.14158595
Rnf114,0.0,0.103147715,0.14639337,0.27052218,0.048523627
Ube2v1,0.0,0.17340782,0.15231712,-0.029862866,0.19829081
Tmem189,0.0,0.17876123,0.32752913,0.3920824,0.16012967
Gm14320,0.0,0.04388843,0.023298524,-0.032920793,0.082020655
